index,group,type
0hh1,Web Games,JavaScript
2048,Web Games,CSS
AtomicGameEngine,Games Engines,C
BEMSimpleLineGraph,Data Visulization,Objective-C
BrowserQuest,Web Games,JavaScript
CNTK,Machine Learning,C++
Caret,Text Editor,JavaScript
Chart.js,Data Visulization,JavaScript
CodeIgniter,Web Framework,php
Dash,Games Engines,D
Decider,Machine Learning,Ruby
GD,Games Engines,HTML
GamePlay,Games Engines,C++
HLearn,Machine Learning,Haskell
KomodoEdit,Text Editor,Python
Leaflet,Data Visulization,JavaScript
LightTable,Text Editor,Clojure
MLPNeuralNet,Machine Learning,Objective-C
ML_for_Hackers,Machine Learning,R
MonoGame,Games Engines,C#
OpenRA,Games Engines,C#
PredictionIO,Machine Learning,Scala
Starling-Framework,Games Engines,ActionScript
Theano,Machine Learning,Python
Torque2D,Games Engines,C++
Torque3D,Games Engines,C++
adarkroom,Web Games,JavaScript
arbor,Data Visulization,JavaScript
atom,Text Editor,CoffeeScript
brackets,Text Editor,JavaScript
brain,Machine Learning,JavaScript
caffe,Machine Learning,C++
cakephp,Web Framework,php
cesium,Data Visulization,JavaScript
chartist-js,Data Visulization,JavaScript
chroma.js,Data Visulization,CoffeeScript
clumsy-bird,Web Games,JavaScript
cocos2d-x,Games Engines,C++
codebox,Text Editor,JavaScript
convnetjs,Machine Learning,JavaScript
d3,Data Visulization,JavaScript
datumbox-framework,Machine Learning,Java
dc.js,Data Visulization,JavaScript
derby,Web Framework,javascript
dimple,Data Visulization,JavaScript
django,Web Framework,python
duality,Games Engines,C#
echarts,Data Visulization,JavaScript
envisionjs,Data Visulization,JavaScript
epoch,Data Visulization,HTML
express,Web Framework,javascript
flask,Web Framework,python
frappe,Web Framework,python
godot,Games Engines,C
golearn,Machine Learning,Go
h2o-2,Machine Learning,Java
hextris,Web Games,JavaScript
jmonkeyengine,Games Engines,Java
jubatus,Machine Learning,C++
kartograph.js,Data Visulization,JavaScript
keras,Machine Learning,Python
laravel,Web Framework,php
leo-editor,Text Editor,Python
libgdx,Games Engines,Java
mahout,Machine Learning,Java
matplotlib,Data Visulization,Python
mean,Web Framework,javascript
meteor,Web Framework,javascript
metrics-graphics,Data Visulization,JavaScript
modestmaps-js,Data Visulization,JavaScript
mxnet,Machine Learning,C++
neon,Machine Learning,Python
neovim,Text Editor,VimL
nupic,Machine Learning,Python
openage,Games Engines,C++
oryx,Machine Learning,Java
pakyow,Web Framework,ruby
panda3d,Games Engines,C++
pattern,Machine Learning,Python
peity,Data Visulization,HTML
pygal,Data Visulization,Python
rails,Web Framework,ruby
raw,Data Visulization,Python
recline,Data Visulization,JavaScript
ruby-warrior,Machine Learning,Ruby
scikit-learn,Machine Learning,Python
seldon-server,Machine Learning,Java
sharelatex,Text Editor,CoffeeScript
shogun,Machine Learning,C++
sigma.js,Data Visulization,JavaScript
sinatra,Web Framework,ruby
slap,Text Editor,JavaScript
spacemacs,Text Editor,Emacs Lisp
spring,Games Engines,C++
spring-framework,Web Framework,java
superpowers-core,Games Engines,TypeScript
symfony,Web Framework,php
tensorflow,Machine Learning,C++
textmate,Text Editor,C++
turbulenz_engine,Games Engines,TypeScript
untrusted,Web Games,JavaScript
vim.js,Text Editor,C
web2py,Web Framework,python
xenko,Games Engines,C#
xgboost,Machine Learning,C++
zed,Text Editor,JavaScript
