,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,36080.261611596565,31617.629884139922,22231.891063687188,20857.970820284994,20671.401381437172,15814.656419438636,14762.360049218714,12682.592103553012,11975.534777782195,11688.983739113228,11495.561210978392,11103.071948090657,10684.03665264704,9516.074907873899,9340.795051721334,8326.250924499805,6954.169291846927,6494.6530734847165,6297.350564750974,6186.86525880684,5879.516376508824,5868.443407647709,5799.715000736172,5666.137025489219,5422.979875761098,5253.5860163089255,5107.5722217395305,4922.887748442895,4766.7160045338715,4711.247517368497,4641.622610326481,4585.631268774169,4561.171310649071,4533.99242072402,4529.1382595500045,4421.6562429803325,4343.756818235785,4276.117478180835,3921.718331120405,3840.2690163546827,3733.0998453671305,3718.576683773901,3685.3201807030277,3645.372469990664,3612.9497464087317,3578.1748060495065,3525.614759769723,3454.7722383557843,3402.9733446976843,3313.8314376410644
topic#1,804172.3128058162,343862.7417485124,212875.83388097186,74433.98692007443,67534.64322185927,67384.95198012897,67316.57644078608,67246.57515113945,67217.95348748566,64690.3410440905,62611.678957994765,60270.04675119963,58577.19535238648,54474.676154967216,48826.395797710764,47586.855559352836,44891.64944306971,43201.71223412423,42635.88400058617,42193.03196751149,40186.816414764326,37890.70877069846,34914.108574129896,34641.34583550912,33293.08837149985,33007.00937170946,31244.13557762259,28816.63095101093,28810.098142611198,27716.100943541594,26814.344138363576,26315.405603758532,26282.72005429855,25969.898660299037,23754.04419560517,21664.191837786442,21611.692083203685,21246.52819805174,20910.43423739538,20060.06656330913,19564.81054602665,19352.82668167904,19352.546594267606,19314.527979815783,18976.428997021576,18533.76295056435,18528.754369859977,17804.208000767936,17390.710962757214,16657.452906350536
topic#2,179856.58439090915,171612.63442385133,114616.08475987484,114441.62482030045,110268.08486031707,93120.61613785132,90839.25085987897,83489.7347621942,81940.06142966445,78563.12708495176,77224.73952296324,76664.92343995067,67857.38165903886,67773.09408817437,67406.13360309672,67216.80702196133,67101.8511737392,67003.88585977607,66979.18763393258,66973.18833957033,64883.18703974829,64268.87218538605,63980.9883811799,60545.61255867027,60319.67004052768,54334.94523258275,52184.67380839742,50376.554795813325,49031.21770073052,46876.120681746565,46025.034672655514,42855.552518345125,41247.31588548892,40747.55179199852,39824.353088353004,39334.786816489446,39272.21348269801,36513.94783523352,35665.261488513745,33905.94516953762,33737.46716486126,31996.93116217527,31542.716823034865,30648.26511606681,30212.003948973546,29372.415294953145,28740.126663414518,27840.654394887715,26175.509348228912,26171.485017205632
topic#3,357419.3051110995,178391.27008898428,178132.57650530696,173530.99857032226,164673.71972655554,155340.24935186637,118111.5222415707,94022.47099421597,91280.89604027625,88638.61942724952,88627.34385271973,88047.18736897713,87500.21442722576,87286.90412524245,87082.5751351147,86805.22299769383,77445.93051923894,76631.33827405906,70650.28892096033,56102.339212764644,55976.59890698715,54299.13060865327,51151.16773669121,50147.58350137045,50015.52973331511,48793.25120080301,48232.58406303224,39657.86338352485,38659.639850119354,37816.37559363753,37434.73542567773,36899.44572702817,35281.52916831822,34734.73074668752,34568.326879811066,33708.60013256391,33526.795714924265,32656.904257978065,32402.34681760026,31411.90139051711,30915.790868514207,29534.32976113328,29485.81484619581,29340.51000124597,29029.00288214433,28629.660399819615,27953.436012339625,27702.102610032445,27487.89577135048,26752.325809743324
topic#4,90606.93396568777,54273.491823042765,52554.54519844668,49258.850928950815,47937.242679006995,46750.024001228696,45282.22016523365,44585.10960476132,42083.311412425726,35866.88466858384,29395.377995673887,27662.00986447154,26479.39093113953,25953.45762882286,23804.512416663536,22071.339371435115,20523.834177412977,20459.45373072512,20456.34463948158,19992.111182882887,19915.73992047478,19672.444929309433,18748.186237098245,17631.257618714826,16849.79188850752,16830.632886398853,15372.994877272726,15234.132917207344,14721.92032417073,14241.293757289997,14161.470932609518,14136.476475338954,13459.987434057384,12944.383296595153,12055.33010760496,11740.287869268577,11738.026189336058,11650.339767042087,11455.138969792091,11437.736991443473,10994.269530903977,10774.509949535577,10083.776393092998,9959.157056018688,9844.656814393486,9498.042272606928,9230.850774561748,8943.24575999886,8879.916109569533,8445.180866966073
topic#5,66437.64646679458,43423.61661558509,43132.934641831984,26417.844693126317,22638.44140881066,21756.542218413088,21672.92682239101,19501.034529589477,19313.210810427972,19212.99664733679,17663.34649993312,17407.285205136137,17206.323185965386,14829.346856982334,14813.699224702434,14730.831985074024,14125.985813653533,13289.095694049804,13228.012916797095,12226.642635750542,11537.471010465379,11354.858305630078,10507.30735798529,10295.067117031354,9559.793957490523,9463.071018805109,9431.756113456046,9393.878926683868,9368.331919306078,9324.90981710638,9321.698788750373,9220.666874924656,8780.713493057636,8277.007393078107,7971.297014219154,7888.413712650723,7878.023620405514,7834.5750013931565,7679.968404100322,7648.25944333587,7637.7088186698575,7637.586277972731,7556.603376323499,7553.114464391297,7481.735999818231,7456.288442273216,7209.663547266844,7101.509205336251,6934.743691603039,6901.143262818989
topic#6,54650.044937314546,47896.138802775706,44923.81151538892,42501.379135400275,40138.10981779185,35315.84252498426,29356.00612273289,28494.793918388823,23122.033097475884,19837.776500259737,19677.33380050212,19257.154554154164,18561.383397259164,16426.663384985193,16249.877271499417,14572.391997220437,14341.991202906782,13894.937348348387,13335.422348852882,13085.21802181141,12833.460057206852,12574.667873337865,10959.956217994653,9716.21457678219,9226.206921836361,8996.67603885326,8952.410408074456,8775.804208955255,8756.22285453405,8673.890701540371,8513.611535965394,8295.777334673978,8166.179534932692,8033.915884663951,7900.60021705752,7667.331182477301,7534.137741852596,7453.565436995031,7379.412049949608,7281.332070843628,7238.516634091102,7183.464317295536,7118.664971479445,6932.241086972871,6922.282163854078,6919.186168597998,6835.670998899339,6300.815732585428,6077.911524082632,5928.6888495589865
topic#7,46240.506086623,40260.655692841225,24205.1987857964,23072.217368284255,16855.793283061812,16745.716256352775,16612.28892698307,15785.761223054142,12420.941394055088,12018.704417928471,11771.72174677177,11553.71822004717,10876.091947492321,10413.95668631107,9887.695009083112,9790.3751563022,9318.396371005265,9199.133349436339,8732.468044334682,8728.740289445923,8207.640920545717,8070.158219746812,7522.670330967378,6994.859425013039,6959.109263299117,6793.055663918219,6193.271563100688,5330.842445658244,4923.732995326582,4646.530878502819,4632.618382498744,4624.444270527292,4573.030971749264,4416.530874463096,4255.889106886387,4213.223808023528,4175.440272708258,4082.7490359926746,3931.802435491019,3901.736052058526,3804.211642614146,3775.0030928736505,3667.003795678571,3561.1009763283905,3465.774330653334,3435.262763174644,3425.0975700521512,3400.3287651774285,3086.6387866558784,3082.187926518489
topic#8,286445.8983456417,125393.97170883519,65849.91845476971,53456.61553964556,52505.80668363906,44621.76867241263,44197.038850202065,43362.95890882111,37876.02631334419,36793.04280116365,34226.585118058,31419.598350337015,29276.04298864208,27178.897723503793,26985.461563980352,25868.805592562298,25608.389775393385,25159.727249612813,24920.03228220365,24667.09749653526,24630.136532037053,24609.26470985343,24607.54507535855,24606.56095553783,24604.276140780792,24572.362850857706,24567.178174286742,24563.186206377206,22745.54808673707,22043.672100349377,21980.424548461764,21957.12776943451,21772.808205769652,21530.358534015497,19918.62591719989,18483.490815120214,18371.313917173746,17898.406486141095,17734.091554529074,16889.77522749715,15976.874337341478,14940.681030172493,14770.561683052634,14480.495329251953,14258.654014551254,13994.53041010703,13656.341267596357,13399.748634355345,12967.66099419109,12708.096185856319
topic#9,364065.6129546954,48729.59413343922,40371.21837796521,39838.1908843965,32950.081985577606,32168.340396028965,31979.59700644598,30788.975433325286,29953.183670593742,29713.34056675939,29326.84836222661,28992.72925523695,28170.956468029523,28119.60316923346,28100.159528047,28095.531835339636,28085.997725980906,27210.86511131617,25771.81959934055,25525.22636714187,24570.035456393238,21758.486849122473,19797.63850166348,18584.300651256122,17789.668678678576,17687.63965287918,16846.3786264057,15354.062777399575,13411.376937712876,12909.311858968562,11833.102059863599,11719.591523347306,11513.38782061528,10943.686868703184,10859.117364403795,10670.52836980682,10401.407179274072,9732.88758120905,9724.507002053735,9480.733239226853,9025.43997333647,8936.082642833237,8883.930724249349,8658.116995990002,8337.153340061417,8191.207518622297,8150.434825983747,8115.118566184904,7997.201180725022,7923.496330943928
